Block Name,Point ID,nu,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,1.5e-05,0.00175107,0,-0.04,0.5,0.501597,4.17444e-14,5.75529e-07,0.0136024,0.0136024
internalMesh,1,1.5e-05,0.00175107,0,-0.0391503,0.5,0.50153,5.51795e-14,5.84711e-07,0.0136895,0.0136895
internalMesh,2,1.5e-05,0.00175107,0,-0.0348913,0.5,0.501216,9.63274e-14,5.31509e-07,0.0141259,0.0141259
internalMesh,3,1.5e-05,0.00175107,0,-0.0325972,0.5,0.501061,1.18092e-13,5.02854e-07,0.014361,0.014361
internalMesh,4,1.5e-05,0.00175107,0,-0.0321362,0.5,0.501032,1.25381e-13,5.07835e-07,0.0144082,0.0144082
internalMesh,5,1.5e-05,0.00175107,0,-0.0285044,0.5,0.500812,9.05056e-14,4.4569e-07,0.0145817,0.0145817
internalMesh,6,1.5e-05,0.00175107,0,-0.0277737,0.5,0.500771,7.87573e-14,4.4823e-07,0.0146166,0.0146166
internalMesh,7,1.5e-05,0.00175107,0,-0.0271786,0.5,0.500738,6.94854e-14,4.50298e-07,0.0146451,0.0146451
internalMesh,8,1.5e-05,0.00175107,0,-0.0241819,0.5,0.500584,3.55271e-14,3.99019e-07,0.0147882,0.0147882
internalMesh,9,1.5e-05,0.00175107,0,-0.0236803,0.5,0.50056,2.74576e-14,3.99306e-07,0.0147973,0.0147973
internalMesh,10,1.5e-05,0.00175107,0,-0.0212017,0.5,0.500449,1.90506e-15,3.54855e-07,0.0148424,0.0148424
internalMesh,11,1.5e-05,0.00175107,0,-0.0169948,0.5,0.500289,-5.0258e-14,2.7941e-07,0.0149188,0.0149188
internalMesh,12,1.5e-05,0.00175107,0,-0.0161592,0.5,0.500261,-6.32087e-14,2.79887e-07,0.014934,0.014934
internalMesh,13,1.5e-05,0.00175107,0,-0.0108908,0.5,0.500119,-3.85599e-14,1.77903e-07,0.014966,0.014966
internalMesh,14,1.5e-05,0.00175107,0,-0.00984271,0.5,0.500097,-2.21765e-14,1.74979e-07,0.0149724,0.0149724
internalMesh,15,1.5e-05,0.00175107,0,-0.00954609,0.5,0.500091,-1.75397e-14,1.74152e-07,0.0149742,0.0149742
internalMesh,16,1.5e-05,0.00175107,0,-0.00809104,0.5,0.500065,-1.18424e-14,1.45986e-07,0.014983,0.014983
internalMesh,17,1.5e-05,0.00175107,0,-0.00134851,0.5,0.500002,-1.06581e-13,5.23863e-09,0.0149924,0.0149924
internalMesh,18,1.5e-05,0.00175107,0,0,0.5,0.5,-1.06581e-13,-4.17444e-14,0.0149942,0.0149942
internalMesh,19,1.5e-05,0.00175107,0,0,0.5,0.5,-1.06581e-13,-4.17444e-14,0.0149942,0.0149942
internalMesh,20,1.5e-05,0.00175107,0,0,0.5,0.5,-1.04361e-13,-4.17444e-14,0.0149942,0.0149942
internalMesh,21,1.5e-05,0.00175107,0,0.00674254,0.5,0.500045,-3.14563e-14,-1.40747e-07,0.0149849,0.0149849
internalMesh,22,1.5e-05,0.00175107,0,0.00809104,0.5,0.500065,-1.07321e-14,-1.45986e-07,0.014983,0.014983
internalMesh,23,1.5e-05,0.00175107,0,0.00935664,0.5,0.500088,-9.09941e-16,-1.70485e-07,0.0149754,0.0149754
internalMesh,24,1.5e-05,0.00175107,0,0.00960452,0.5,0.500092,-9.09941e-16,-1.71176e-07,0.0149738,0.0149738
internalMesh,25,1.5e-05,0.00175107,0,0.0107013,0.5,0.500115,-9.09941e-16,-1.74236e-07,0.0149672,0.0149672
internalMesh,26,1.5e-05,0.00175107,0,0.0161592,0.5,0.500261,4.44089e-14,-2.79888e-07,0.014934,0.014934
internalMesh,27,1.5e-05,0.00175107,0,0.016967,0.5,0.500288,1.93702e-14,-2.79426e-07,0.0149193,0.0149193
internalMesh,28,1.5e-05,0.00175107,0,0.0209644,0.5,0.500439,-8.37322e-15,-3.51114e-07,0.0148467,0.0148467
internalMesh,29,1.5e-05,0.00175107,0,0.0236525,0.5,0.500559,-2.50388e-14,-3.99322e-07,0.0147978,0.0147978
internalMesh,30,1.5e-05,0.00175107,0,0.0241819,0.5,0.500584,-4.14483e-14,-3.9902e-07,0.0147882,0.0147882
internalMesh,31,1.5e-05,0.00175107,0,0.0277335,0.5,0.500769,-2.99478e-14,-4.59792e-07,0.0146186,0.0146186
internalMesh,32,1.5e-05,0.00175107,0,0.0284405,0.5,0.500808,-4.10007e-14,-4.57334e-07,0.0145848,0.0145848
internalMesh,33,1.5e-05,0.00175107,0,0.0290592,0.5,0.500844,-5.0672e-14,-4.55184e-07,0.0145552,0.0145552
internalMesh,34,1.5e-05,0.00175107,0,0.0321362,0.5,0.501032,-4.14483e-14,-5.07836e-07,0.0144082,0.0144082
internalMesh,35,1.5e-05,0.00175107,0,0.0325895,0.5,0.501061,-3.42814e-14,-5.02938e-07,0.0143618,0.0143618
internalMesh,36,1.5e-05,0.00175107,0,0.0348411,0.5,0.501212,-2.28603e-14,-5.31063e-07,0.0141311,0.0141311
internalMesh,37,1.5e-05,0.00175107,0,0.0391426,0.5,0.50153,-2.45499e-15,-5.84794e-07,0.0136903,0.0136903
internalMesh,38,1.5e-05,0.00175107,0,0.04,0.5,0.501597,1.11022e-14,-5.75529e-07,0.0136024,0.0136024
internalMesh,39,1.5e-05,0.00175107,0,0.0432143,0.5,0.501864,4.4171e-14,-6.07111e-07,0.0129082,0.0129082
internalMesh,40,1.5e-05,0.00175107,0,0.0438571,0.5,0.50192,5.74937e-14,-5.9187e-07,0.0127696,0.0127696
internalMesh,41,1.5e-05,0.00175107,0,0.0442143,0.5,0.501951,6.48952e-14,-5.83402e-07,0.0126925,0.0126925
internalMesh,42,1.5e-05,0.00175107,0,-0.045,0.5,0.502021,5.35868e-14,6.24655e-07,0.0125226,0.0125226
internalMesh,43,1.5e-05,0.00175107,0,0.046,0.5,0.502112,8.32667e-14,-6.00948e-07,0.0123069,0.0123069
internalMesh,44,1.5e-05,0.00175107,0,0.047,0.5,0.502204,9.37768e-14,-5.83342e-07,0.0119891,0.0119891
internalMesh,45,1.5e-05,0.00175107,0,0.052,0.5,0.502697,7.30527e-14,-5.75206e-07,0.0103953,0.0103953
internalMesh,46,1.5e-05,0.00175107,0,0.053,0.5,0.502801,8.14164e-14,-5.72399e-07,0.00994393,0.00994393
internalMesh,47,1.5e-05,0.00175107,0,0.058,0.5,0.503353,1.88738e-14,-4.51807e-07,0.0076733,0.0076733
internalMesh,48,1.5e-05,0.00175107,0,0.059,0.5,0.503469,1.33967e-14,-4.69961e-07,0.00709056,0.00709056
internalMesh,49,1.5e-05,0.00175107,0,0.064,0.5,0.504079,-1.36187e-14,-2.40194e-07,0.00414799,0.00414799
internalMesh,50,1.5e-05,0.00175107,0,0.065,0.5,0.504207,-2.70154e-14,-2.76707e-07,0.00346517,0.00346517
internalMesh,51,1.5e-05,0.00175107,0,0.07,0.5,0.504876,0,0,0,0
internalMesh,52,1.5e-05,0.00175107,0,-0.046,0.5,0.502112,5.32907e-14,6.00947e-07,0.0123069,0.0123069
internalMesh,53,1.5e-05,0.00175107,0,-0.047,0.5,0.502204,5.52151e-14,5.83341e-07,0.0119891,0.0119891
internalMesh,54,1.5e-05,0.00175107,0,-0.052,0.5,0.502697,4.33727e-14,5.75205e-07,0.0103953,0.0103953
internalMesh,55,1.5e-05,0.00175107,0,-0.053,0.5,0.502801,4.55932e-14,5.72398e-07,0.00994393,0.00994393
internalMesh,56,1.5e-05,0.00175107,0,-0.058,0.5,0.503353,7.51991e-14,4.51808e-07,0.0076733,0.0076733
internalMesh,57,1.5e-05,0.00175107,0,-0.059,0.5,0.503469,7.25346e-14,4.69962e-07,0.00709056,0.00709056
internalMesh,58,1.5e-05,0.00175107,0,-0.064,0.5,0.504079,9.32587e-14,2.40195e-07,0.00414799,0.00414799
internalMesh,59,1.5e-05,0.00175107,0,-0.065,0.5,0.504207,9.17784e-14,2.76708e-07,0.00346517,0.00346517
internalMesh,60,1.5e-05,0.00175107,0,-0.07,0.5,0.504876,0,0,0,0
